구,주소,상호,휘발유,경유,위도,경도
남구,부산 남구 신선로 173 (감만동),인터지스(주)인터지스주유소,1739,1599,35.1165482,129.0826625
남구,부산 남구 북항로 108,굿오일주유소,,1465,35.1088828,129.0820216
동구,부산 동구 충장대로 281 (좌천동),부산벙커앤오일 청구주유소,1580,1445,35.1341372,129.054906
동구,부산 동구 충장대로 305 (좌천동),CJ대한통운㈜ 부산주유소,1580,1445,35.1339142,129.0556227
동구,부산 동구 성남로 74 (범일동),(주)대양씨앤씨직영주유소,1583,1445,35.131018,129.0573378
동구,부산 동구 중앙대로 414 (좌천동),구도일주유소 부산진,1585,1455,35.1359102,129.0554913
동구,부산 동구  중앙대로 302 (초량동),동방석유(주)초량주유소,1585,1455,35.123477,129.0445736
동구,부산 동구 성남로 42 (좌천동),대양대박주유소,1603,1475,35.1304784,129.0547822
동구,부산광역시 동구  자성로 127 (범일2동),동방석유(주)형제주유소,1618,1498,35.1374686,129.0640868
동구,부산 동구 중앙대로 168 (초량동),㈜삼현석유 천일주유소,1998,1698,35.1123058,129.0387887
동래구,부산 동래구 충렬대로 95,광신석유(주)직영 충렬대로주유소,1489,1349,35.2074394,129.0715907
동래구,부산 동래구 충렬대로 121 (온천동),동방석유(주)푸른주유소,1499,1344,35.2064321,129.0739197
동래구,부산 동래구 충렬대로 124,대일주유소,1499,1349,35.2058571,129.0738774
동래구,부산 동래구 반송로 245,㈜OS에너지 동호주유소,1499,1349,35.2026025,129.0989642
동래구,부산 동래구 반송로 303 (명장동),명장주유소,1499,1349,35.2067787,129.1027076
동래구,부산 동래구 충렬대로 51 (온천동),(주)삼보명진주유소,1549,1399,35.2091953,129.0666421
동래구,부산 동래구 우장춘로 56,한창주유소,1569,1439,35.2126238,129.0717236
동래구,부산 동래구 여고로 131 (사직동),한길주유소 교대점 한솔유화㈜,1588,1454,35.1993273,129.0770425
동래구,부산 동래구 충렬대로 460  (안락동),(주)대원에너지 대원주유소,1593,1433,35.1964797,129.1068334
동래구,부산 동래구 반송로 185 (안락동),대경주유소,1597,1457,35.1979546,129.0957774
동래구,부산 동래구 명륜로 2,온천주유소,1598,1468,35.2073343,129.083854
동래구,부산 동래구 충렬대로 330 (안락동),안락교차로주유소,1638,1498,35.1986128,129.0947046
동래구,부산 동래구  충렬대로 400 (안락동),보강주유소,1638,1488,35.1966824,129.1019319
동래구,부산 동래구  충렬대로 300 (낙민동),한양주유소,1646,1496,35.1966791,129.0925668
동래구,부산 동래구 충렬대로 463,충렬주유소,1668,1518,35.1955512,129.1089289
동래구,부산 동래구 미남로 38,대원주유소,1668,1518,35.1976716,129.0712633
부산진구,부산 부산진구 가야대로 402,(주)태화주유소,1559,1419,35.1514155,129.016742
부산진구,부산 부산진구 새싹로 61-1 (부암동),대양주유소,1563,1423,35.1627565,129.0544095
부산진구,부산 부산진구 백양대로 242,진성주유소,1569,1429,35.1571684,129.0242088
부산진구,부산 부산진구 백양대로 231,(주)주공에너지,1569,1429,35.1571734,129.0253393
부산진구,부산 부산진구 황령대로 66 (전포동),동방석유(주)황령산주유소,1573,1443,35.1494307,129.066588
부산진구,부산 부산진구 동평로 49,스마일주유소,1578,1438,35.1651574,129.0347939
부산진구,부산 부산진구 거제대로 84 (양정동),남부산고속주유소,1579,1434,35.1760653,129.0680004
부산진구,부산 부산진구 가야대로552번길 39,가야주유소,1579,1439,35.1522897,129.0329398
부산진구,부산 부산진구 신천대로 132,영우에너지 부전주유소,1583,1463,35.1575276,129.0537631
부산진구,부산광역시 부산진구  전포대로 178 (전포제3동),지에스칼텍스㈜케이제이주유소,1589,1549,35.1512326,129.0633747
부산진구,부산 부산진구 동천로 10 (전포동),동방석유(주)sk전포주유소,1598,1498,35.1498219,129.0630783
부산진구,부산 부산진구 동평로 398,(주)우양네트웍스 하마정주유소,1599,1459,35.1740914,129.0683879
부산진구,부산 부산진구 동평로 361 (양정동),광신석유(주)직영 양정주유소,1624,1494,35.1693024,129.070139
부산진구,부산 부산진구 동평로 239 (연지동),SK에너지(주) 연지오토self,1624,1494,35.1718674,129.0514595
부산진구,부산 부산진구  백양대로 234 (개금동),백양주유소,1659,1498,35.1569372,129.0236485
부산진구,부산 부산진구 백양대로 78 (당감동),명품주유소 당감점,1689,1559,35.1585083,129.0473096
부산진구,부산 부산진구 새싹로 230,럭키주유소,1698,1598,35.1767161,129.0487014
부산진구,부산 부산진구 백양순환로110번길 19 (부암동),한일주유소,1699,1599,35.1692068,129.0395274
부산진구,부산 부산진구 동평로 289 (연지동),지에스칼텍스㈜ 성지주유소,1699,1569,35.1716354,129.0583999
부산진구,부산 부산진구 동평로 21,대흥주유소,1728,1598,35.1647618,129.0317616
부산진구,부산 부산진구 가야대로 523 (가야동),대명주유소,1838,1718,35.1539404,129.0292202
북구,부산 북구 만덕대로 343 (만덕동),(주)삼보부림SELF주유소,1549,1399,35.213545,129.0419109
북구,부산 북구 만덕대로 331 (만덕동),삼보주유소/충전소,1549,1399,35.2134317,129.0409269
북구,부산 북구 백양대로 995 (구포동),광신석유(주)직영 백양대로주유소,1559,1419,35.194768,128.9933507
북구,부산 북구 시랑로 58 (구포동),경덕주유소,1565,1439,35.2003935,129.0050883
북구,부산 북구 금곡대로 712 (금곡동),금곡대로주유소,1569,1399,35.2702178,129.018756
북구,부산 북구 금곡대로 604 (금곡동),(주)세일 금곡주유소,1579,1419,35.2615576,129.014573
북구,부산 북구 금곡대로 37,북부산셀프주유소,1579,1439,35.2133995,129.0038454
북구,부산 북구 금곡대로 203,화명신도시주유소,1579,1439,35.226961,129.0109356
북구,부산 북구 사상로 619 (구포동),지에스칼텍스(주)구포셀프주유소,1589,1464,35.1994107,128.9909222
북구,부산 북구 만덕대로 170,만복드림주유소,1599,1499,35.2130042,129.0233637
북구,부산 북구 낙동대로 1642,성도주유소,1616,1488,35.2021195,128.9932407
북구,부산 북구 금곡대로 362,SK에너지(주)두꺼비,1649,1519,35.2407267,129.0144127
북구,부산 북구 의성로53번길 5,SK에너지㈜직영 삼진셀프주유소,1649,1519,35.2161188,129.0092472
북구,부산 북구 금곡대로 692,무지개주유소,1669,1419,35.2681895,129.0182667
북구,부산 북구 금곡대로 113 (덕천동),동양가스산업(주)명품주유소,1689,1559,35.2150408,129.0101288
북구,부산 북구 덕천로 275 (만덕동),SK에너지(주)신광셀프주유소,1769,1599,35.2098903,129.0342436
사상구,부산 사상구 낙동대로 1274 (삼락동),(주)가온에너지 더힘대로주유소,1548,1398,35.1739246,128.9770157
사상구,부산 사상구 낙동대로 753 (엄궁동),에스알디㈜더리치주유소,1559,1419,35.1224262,128.9791369
사상구,부산 사상구 가야대로 377,스마트주유소,1559,1419,35.1516812,129.0139716
사상구,부산 사상구 가야대로 329,용마주유소,1559,1419,35.1512467,129.008645
사상구,부산 사상구 백양대로 701 (덕포동),우리주유소 (주)시블링스,1559,1419,35.1746452,128.9884548
사상구,부산 사상구 가야대로 395,광신석유(주)직영 가야대로주유소,1559,1419,35.1508539,128.9946548
사상구,부산 사상구 학감대로 178,세원주유소,1564,1424,35.146891,128.9891171
사상구,부산 사상구 새벽로 154,(주)좋은기름나라새사상셀프주유소지점,1564,1424,35.154972,128.983306
사상구,부산 사상구 학감대로 70,㈜덕양에너지직영 굿모닝주유소,1564,1424,35.1391738,128.9926646
사상구,부산 사상구 가야대로 63,(주)젤코바,1564,1424,35.1515299,128.9796864
사상구,부산 사상구 낙동대로 681,엄궁주유소,1564,1424,35.1234684,128.9649464
사상구,부산 사상구 낙동대로 730 (엄궁동),가락타운주유소,1564,1424,35.1262098,128.9687631
사상구,부산 사상구 백양대로 480,성림주유소,1564,1424,35.1531698,128.9996938
사상구,부산 사상구 백양대로 477 (주례동),(주)지엠지 우경주유소,1564,1434,35.1516217,129.0055614
사상구,부산 사상구 학감대로 98 (학장동),(주)덕양에너지 직영 구덕산주유소,1564,1424,35.1404957,128.9901325
사상구,부산 사상구 가야대로 10 (감전동),부영석유(주)도매주유소,1564,1424,35.1517258,128.9738437
사상구,부산 사상구 학감대로 30 (학장동),에스씨(주) 새문주유소,1564,1424,35.1363924,128.9960658
사상구,부산 사상구 학감대로 170,서부산IC주유소,1564,1424,35.146111,128.9897359
사상구,부산 사상구 낙동대로 669 (엄궁동),(주)호림에너지 호림주유소,1564,1424,35.1290455,128.9782556
사상구,부산 사상구 백양대로 349 (주례동),원주유소,1564,1424,35.1525479,129.0027557
사상구,부산 사상구 학감대로 220 (감전동),㈜제이와이비젼 명성주유소,1565,1425,35.150601,128.9899922
