구,주소,상호,휘발유,경유
사상구,부산 사상구 가야대로 150 (학장동),구룡주유소,1568.0,1428.0
사상구,부산 사상구 사상로 105,엔씨네트웍스(주)직영주유소,1568.0,1429.0
사상구,부산 사상구 강변대로 412 (엄궁동),지에스칼텍스(주)강변주유소,1574.0,1434.0
사상구,부산 사상구 강변대로 458 (엄궁동),지에스칼텍스(주)자이언트주유소,1574.0,1434.0
사상구,부산 사상구 낙동대로 994 (감전동),(주)부영에너지,1578.0,1438.0
사상구,부산 사상구 낙동대로 1520 (삼락동),흥일주유소 주식회사,1598.0,1488.0
사상구,부산 사상구 학장로 107,한라주유소,1627.0,1487.0
사상구,부산 사상구 새벽로 1 (학장동),아산주유소,1627.0,1487.0
사상구,부산 사상구 낙동대로 1316,중앙주유소,1628.0,1498.0
사상구,부산 사상구 백양대로 386 (주례동),경동주유소,1634.0,1474.0
사상구,부산 사상구 낙동대로 879 (감전동),산업주유소,1638.0,1518.0
사상구,부산 사상구 모덕로 69 (모라동),성경주유소,1638.0,1538.0
사상구,부산 사상구 새벽로 2,대흥오일뱅크주유소,1638.0,1518.0
사상구,부산 사상구 농산물시장로25번길 94,농산물주유소,1678.0,1558.0
사상구,부산 사상구 낙동대로 920 (감전동),새동창주유소,1678.0,1538.0
사상구,부산 사상구 낙동대로 978 (감전동),HD현대오일뱅크㈜직영 감전주유소,1679.0,1518.0
사상구,부산 사상구 낙동대로 1320,대림주유소,1679.0,1549.0
사상구,부산 사상구 낙동대로 935,광신홀딩스㈜ 직영 낙동대로주유소,1689.0,1544.0
사상구,부산 사상구 학감대로 73 (학장동),행복한셀프주유소,1689.0,1549.0
사상구,부산 사상구 낙동대로 1380,지에스칼텍스(주)서부주유소,1739.0,1599.0
사상구,부산 사상구 새벽로 207 (괘법동),아시아사상주유소,1797.0,1687.0
